tag_id,stap_id,start,end,known_lat,known_lon,include
24TJ,9,2020-09-18T03:45:00Z,2020-09-20T04:15:00Z,,,TRUE
24TJ,10,2020-09-20T05:45:00Z,2020-09-20T23:15:00Z,,,TRUE
24TJ,11,2020-09-21T00:45:00Z,2020-10-06T17:15:00Z,,,TRUE
24TJ,12,2020-10-07T05:45:00Z,2020-10-07T17:15:00Z,,,TRUE
24TJ,13,2020-10-08T05:15:00Z,2020-10-08T17:45:00Z,,,TRUE
24TJ,14,2020-10-09T06:15:00Z,2020-10-09T18:45:00Z,,,TRUE
24TJ,15,2020-10-10T01:45:00Z,2020-10-10T19:45:00Z,,,TRUE
24TJ,16,2020-10-10T22:45:00Z,2020-10-18T18:45:00Z,,,TRUE
24TJ,17,2020-10-18T20:45:00Z,2020-10-18T23:15:00Z,,,TRUE
24TJ,18,2020-10-19T01:15:00Z,2021-03-14T23:45:00Z,,,TRUE
24TJ,19,2021-03-15T01:45:00Z,2021-04-05T18:45:00Z,,,TRUE
24TJ,20,2021-04-06T05:15:00Z,2021-04-06T18:15:00Z,,,TRUE
24TJ,21,2021-04-07T05:45:00Z,2021-04-07T18:15:00Z,,,TRUE
24TJ,22,2021-04-08T04:45:00Z,2021-04-08T06:45:00Z,,,TRUE
24TJ,23,2021-04-08T10:15:00Z,2021-04-08T18:45:00Z,,,TRUE
24TJ,24,2021-04-09T05:15:00Z,2021-04-09T20:45:00Z,,,TRUE
24TJ,25,2021-04-09T23:45:00Z,2021-04-19T20:15:00Z,,,TRUE
24TJ,26,2021-04-19T22:15:00Z,2021-04-26T19:15:00Z,,,TRUE
24TJ,27,2021-04-27T15:15:00Z,2021-04-27T22:15:00Z,,,TRUE
24TJ,28,2021-04-27T23:45:00Z,2021-04-29T20:15:00Z,,,TRUE
24TJ,29,2021-04-29T22:15:00Z,2021-05-01T19:45:00Z,,,TRUE
24TJ,30,2021-05-01T21:15:00Z,2021-05-03T19:45:00Z,,,TRUE
24TJ,31,2021-05-04T01:45:00Z,2021-06-04T21:45:00Z,44.974711,6.956946,TRUE
26HS,1,2020-07-06T21:45:00Z,2020-09-16T17:45:00Z,46.553613,8.711702,TRUE
26HS,2,2020-09-16T23:15:00Z,2020-09-23T17:45:00Z,,,TRUE
26HS,3,2020-09-24T03:45:00Z,2020-09-24T18:15:00Z,,,TRUE
26HS,4,2020-09-24T19:15:00Z,2020-09-26T17:45:00Z,,,TRUE
26HS,5,2020-09-26T20:45:00Z,2020-09-27T17:45:00Z,,,TRUE
26HS,6,2020-09-27T21:45:00Z,2020-09-28T19:15:00Z,,,TRUE
26HS,7,2020-09-28T21:45:00Z,2020-09-29T17:45:00Z,,,TRUE
26HS,8,2020-09-29T21:45:00Z,2020-09-30T02:45:00Z,,,TRUE
26HS,9,2020-09-30T04:15:00Z,2020-09-30T19:15:00Z,,,TRUE
26HS,10,2020-10-01T02:45:00Z,2020-10-01T21:15:00Z,,,TRUE
26HS,11,2020-10-01T23:15:00Z,2020-10-02T21:45:00Z,,,TRUE
26HS,12,2020-10-03T00:15:00Z,2020-10-27T16:45:00Z,,,TRUE
26HS,13,2020-10-28T05:45:00Z,2020-10-28T17:15:00Z,,,TRUE
26HS,14,2020-10-29T05:45:00Z,2020-10-29T17:15:00Z,,,TRUE
26HS,15,2020-10-30T05:45:00Z,2020-10-30T17:45:00Z,,,TRUE
26HS,16,2020-10-31T04:45:00Z,2020-11-02T19:15:00Z,,,TRUE
26HS,17,2020-11-03T03:45:00Z,2021-04-04T18:45:00Z,,,TRUE
26HS,18,2021-04-05T05:45:00Z,2021-04-05T18:15:00Z,,,TRUE
26HS,19,2021-04-06T05:45:00Z,2021-04-06T17:45:00Z,,,TRUE
26HS,20,2021-04-07T07:45:00Z,2021-04-07T18:15:00Z,,,TRUE
26HS,21,2021-04-08T05:15:00Z,2021-04-21T18:15:00Z,,,TRUE
26HS,22,2021-04-22T04:45:00Z,2021-04-22T18:15:00Z,,,TRUE
26HS,23,2021-04-23T04:15:00Z,2021-04-23T18:45:00Z,,,TRUE
26HS,24,2021-04-23T23:15:00Z,2021-04-24T03:15:00Z,,,TRUE
26HS,25,2021-04-24T05:15:00Z,2021-04-24T20:45:00Z,,,TRUE
26HS,26,2021-04-25T01:15:00Z,2021-04-25T20:45:00Z,,,TRUE
26HS,27,2021-04-26T01:45:00Z,2021-05-01T18:15:00Z,,,TRUE
26HS,28,2021-05-01T19:45:00Z,2021-05-08T22:15:00Z,,,TRUE
26HS,29,2021-05-09T00:15:00Z,2021-05-10T02:15:00Z,,,TRUE
26HS,30,2021-05-10T03:45:00Z,2021-05-10T21:45:00Z,,,TRUE
26HS,31,2021-05-10T23:15:00Z,2021-05-12T20:15:00Z,,,TRUE
26HS,32,2021-05-12T21:45:00Z,2021-06-22T21:45:00Z,46.553613,8.711702,TRUE
26IL,1,2020-07-13T21:45:00Z,2020-09-10T18:15:00Z,46.549204,8.70603,TRUE
26IL,2,2020-09-10T23:15:00Z,2020-09-11T18:15:00Z,,,TRUE
26IL,3,2020-09-11T20:15:00Z,2020-09-12T18:15:00Z,,,TRUE
26IL,4,2020-09-12T23:45:00Z,2020-09-13T19:15:00Z,,,TRUE
26IL,5,2020-09-13T22:15:00Z,2020-09-25T17:15:00Z,,,TRUE
26IL,6,2020-09-26T05:15:00Z,2020-09-26T17:45:00Z,,,TRUE
26IL,7,2020-09-27T04:45:00Z,2020-09-27T18:15:00Z,,,TRUE
26IL,8,2020-09-28T05:15:00Z,2020-09-28T19:45:00Z,,,TRUE
26IL,9,2020-09-29T01:15:00Z,2020-09-29T20:45:00Z,,,TRUE
26IL,10,2020-09-30T00:45:00Z,2020-09-30T21:15:00Z,,,TRUE
26IL,11,2020-09-30T23:45:00Z,2020-10-01T23:45:00Z,,,TRUE
26IL,12,2020-10-02T01:15:00Z,2020-10-05T19:15:00Z,,,TRUE
26IL,13,2020-10-05T20:15:00Z,2021-03-21T18:45:00Z,,,TRUE
26IL,14,2021-03-22T02:45:00Z,2021-03-22T18:45:00Z,,,TRUE
26IL,15,2021-03-23T04:15:00Z,2021-03-23T17:45:00Z,,,TRUE
26IL,16,2021-03-24T00:45:00Z,2021-03-24T18:15:00Z,,,TRUE
26IL,17,2021-03-25T01:45:00Z,2021-03-25T23:15:00Z,,,TRUE
26IL,18,2021-03-26T01:15:00Z,2021-04-04T18:45:00Z,,,TRUE
26IL,19,2021-04-05T13:15:00Z,2021-04-05T18:45:00Z,,,TRUE
26IL,20,2021-04-06T05:15:00Z,2021-04-08T18:45:00Z,,,TRUE
26IL,21,2021-04-09T05:15:00Z,2021-04-09T21:45:00Z,,,TRUE
26IL,22,2021-04-09T22:45:00Z,2021-04-11T23:45:00Z,,,TRUE
26IL,23,2021-04-12T00:45:00Z,2021-04-23T18:45:00Z,,,TRUE
26IL,24,2021-04-24T07:45:00Z,2021-04-24T19:15:00Z,,,TRUE
26IL,25,2021-04-25T04:15:00Z,2021-04-25T19:15:00Z,,,TRUE
26IL,26,2021-04-26T01:45:00Z,2021-04-26T03:45:00Z,,,TRUE
26IL,27,2021-04-26T10:15:00Z,2021-05-03T16:45:00Z,,,TRUE
26IL,28,2021-05-04T02:15:00Z,2021-05-04T23:15:00Z,,,TRUE
26IL,29,2021-05-05T01:15:00Z,2021-05-05T23:15:00Z,,,TRUE
26IL,30,2021-05-06T00:45:00Z,2021-06-29T21:45:00Z,46.549204,8.70603,TRUE
26IM,1,2020-07-13T21:45:00Z,2020-09-16T17:45:00Z,46.550758,8.705503,TRUE
26IM,2,2020-09-17T02:15:00Z,2020-09-17T18:15:00Z,,,TRUE
26IM,3,2020-09-17T21:45:00Z,2020-09-18T20:15:00Z,,,TRUE
26IM,4,2020-09-18T21:15:00Z,2020-09-19T20:45:00Z,,,TRUE
26IM,5,2020-09-19T22:15:00Z,2020-09-21T18:15:00Z,,,TRUE
26IM,6,2020-09-22T03:45:00Z,2020-09-22T18:15:00Z,,,TRUE
26IM,7,2020-09-23T02:45:00Z,2020-09-23T18:45:00Z,,,TRUE
26IM,8,2020-09-23T19:45:00Z,2020-09-25T18:15:00Z,,,TRUE
26IM,9,2020-09-26T03:45:00Z,2020-09-26T20:45:00Z,,,TRUE
26IM,10,2020-09-26T21:45:00Z,2020-10-05T17:45:00Z,,,TRUE
26IM,11,2020-10-06T04:15:00Z,2020-10-06T17:45:00Z,,,TRUE
26IM,12,2020-10-07T06:45:00Z,2020-10-07T18:15:00Z,,,TRUE
26IM,13,2020-10-08T05:45:00Z,2020-10-08T19:15:00Z,,,TRUE
26IM,14,2020-10-09T05:45:00Z,2020-10-10T01:45:00Z,,,TRUE
26IM,15,2020-10-10T04:45:00Z,2020-10-10T22:15:00Z,,,TRUE
26IM,16,2020-10-11T00:15:00Z,2021-04-01T18:15:00Z,,,TRUE
26IM,17,2021-04-02T05:15:00Z,2021-04-02T18:15:00Z,,,TRUE
26IM,18,2021-04-03T07:45:00Z,2021-04-03T18:45:00Z,,,TRUE
26IM,19,2021-04-04T16:15:00Z,2021-04-05T00:15:00Z,,,TRUE
26IM,20,2021-04-05T03:45:00Z,2021-04-06T19:15:00Z,,,TRUE
26IM,21,2021-04-07T00:45:00Z,2021-04-07T05:15:00Z,,,TRUE
26IM,22,2021-04-07T06:45:00Z,2021-04-21T18:15:00Z,,,TRUE
26IM,23,2021-04-21T20:15:00Z,2021-04-24T18:45:00Z,,,TRUE
26IM,24,2021-04-25T04:45:00Z,2021-04-25T08:45:00Z,,,TRUE
26IM,25,2021-04-25T12:15:00Z,2021-04-30T18:45:00Z,,,TRUE
26IM,26,2021-05-01T01:15:00Z,2021-05-02T19:15:00Z,,,TRUE
26IM,27,2021-05-03T00:45:00Z,2021-05-27T21:45:00Z,46.550758,8.705503,TRUE
