tag_id,stap_id,type,lat,lon,ind,j,interp,known
26IL,18,most_likely,16.375,-1.125,12467,1,,FALSE
26IL,19,most_likely,23.125,0.125,13360,1,,FALSE
26IL,20,most_likely,27.125,1.125,14080,1,,FALSE
26IL,21,most_likely,33.625,0.375,13502,1,,FALSE
26IL,22,most_likely,34.125,0.625,13684,1,,FALSE
26IL,23,most_likely,34.625,1.125,14050,1,,FALSE
26IL,24,most_likely,39.875,3.125,15501,1,,FALSE
26IL,25,most_likely,43.625,5.375,17142,1,,FALSE
26IL,26,most_likely,45.125,2.625,15112,1,,FALSE
26IL,27,most_likely,44.125,6.625,18060,1,,FALSE
26IL,28,most_likely,46.625,8.125,19154,1,,FALSE
26IL,29,most_likely,45.875,8.875,19709,1,,FALSE
26IL,30,most_likely,46.549204,8.70603,19522,1,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,1,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,2,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,3,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,4,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,5,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,6,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,7,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,8,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,9,,TRUE
16IQ,1,simulation,46.5427,8.68364,19522,10,,TRUE
16IQ,2,simulation,46.375,8.375,19339,1,,FALSE
16IQ,2,simulation,46.625,10.875,21178,2,,FALSE
16IQ,2,simulation,46.125,7.625,18788,3,,FALSE
16IQ,2,simulation,45.875,8.125,19157,4,,FALSE
16IQ,2,simulation,46.125,10.375,20812,5,,FALSE
16IQ,2,simulation,45.625,7.875,18974,6,,FALSE
16IQ,2,simulation,44.375,6.625,18059,7,,FALSE
16IQ,2,simulation,47.125,11.375,21544,8,,FALSE
16IQ,2,simulation,46.125,10.125,20628,9,,FALSE
16IQ,2,simulation,46.125,10.125,20628,10,,FALSE
16IQ,3,simulation,43.875,7.375,18613,1,,FALSE
16IQ,3,simulation,44.375,6.375,17875,2,,FALSE
16IQ,3,simulation,44.875,6.625,18057,3,,FALSE
16IQ,3,simulation,44.125,6.375,17876,4,,FALSE
16IQ,3,simulation,44.875,6.375,17873,5,,FALSE
16IQ,3,simulation,45.625,6.625,18054,6,,FALSE
16IQ,3,simulation,45.875,7.375,18605,7,,FALSE
16IQ,3,simulation,45.375,6.375,17871,8,,FALSE
16IQ,3,simulation,45.625,7.625,18790,9,,FALSE
16IQ,3,simulation,45.375,6.875,18239,10,,FALSE
16IQ,4,simulation,44.375,7.375,18611,1,,FALSE
16IQ,4,simulation,44.875,5.625,17321,2,,FALSE
16IQ,4,simulation,44.125,7.125,18428,3,,FALSE
16IQ,4,simulation,44.625,5.875,17506,4,,FALSE
16IQ,4,simulation,45.125,5.625,17320,5,,FALSE
16IQ,4,simulation,45.375,6.625,18055,6,,FALSE
16IQ,4,simulation,45.875,6.125,17685,7,,FALSE
16IQ,4,simulation,44.375,7.125,18427,8,,FALSE
16IQ,4,simulation,45.875,7.625,18789,9,,FALSE
16IQ,4,simulation,46.125,6.875,18236,10,,FALSE
16IQ,5,simulation,44.125,5.375,17140,1,,FALSE
16IQ,5,simulation,44.875,3.375,15665,2,,FALSE
16IQ,5,simulation,45.125,5.125,16952,3,,FALSE
16IQ,5,simulation,44.875,4.375,16401,4,,FALSE
16IQ,5,simulation,45.375,3.375,15663,5,,FALSE
16IQ,5,simulation,44.375,5.875,17507,6,,FALSE
16IQ,5,simulation,44.875,4.125,16217,7,,FALSE
16IQ,5,simulation,45.375,6.625,18055,8,,FALSE
16IQ,5,simulation,45.375,6.375,17871,9,,FALSE
16IQ,5,simulation,45.375,5.625,17319,10,,FALSE
16IQ,6,simulation,44.875,6.125,17689,1,,FALSE
16IQ,6,simulation,44.625,2.375,14930,2,,FALSE
16IQ,6,simulation,44.375,4.125,16219,3,,FALSE
16IQ,6,simulation,43.875,5.125,16957,4,,FALSE
16IQ,6,simulation,44.875,4.625,16585,5,,FALSE
16IQ,6,simulation,44.875,4.625,16585,6,,FALSE
16IQ,6,simulation,45.625,4.625,16582,7,,FALSE
16IQ,6,simulation,44.125,7.125,18428,8,,FALSE
